description,date,amount,card,category
YSI*EMBARK FREMONT CA,2024-01-03,48,Bank of America Custom Cash,Rent
YSI*EMBARK FREMONT CA,2024-01-08,250,Bank of America Custom Cash,Rent
QBE INSURANCE NEW YORK NY,2024-01-19,208.15,Bank of America Custom Cash,Rent
AUTO TRANSPORT 888-777-2123 AZ,2024-01-26,1185,Bank of America Custom Cash,Car Maintenance
NETFLIX.COM         SINGAPORE           SG,2024-01-27,9.99,AMEX Blue Cash Preferred,Subscriptions
SPOTIFY USA         NEW YORK            NY,2024-01-29,5.99,AMEX Blue Cash Preferred,Subscriptions
AMZN MKTP US*R28YS6GE0 SEATTLE WA,2024-01-30,34.17,Bank of America Custom Cash,Shopping
RELIANT PARKING CARLSBAD CA,2024-01-30,25,Bank of America Custom Cash,Transportation
AMZN MKTP US*R248U64X2 SEATTLE WA,2024-01-31,95.31,Bank of America Custom Cash,Shopping
AMZN MKTP US*R03LZ87P1 SEATTLE WA,2024-01-31,106.75,Bank of America Custom Cash,Shopping
AMAZON.COM*R23CV9OF2 SEATTLE WA,2024-01-31,106.75,Bank of America Custom Cash,Shopping
AMAZON.COM*R28SL0N62 SEATTLE WA,2024-02-01,82.4,Bank of America Custom Cash,Shopping
HAIDILAO HOT POT FREMONT FREMONT CA,2024-02-01,103.7,Citi Costco,Restaurant & Drinks
COSTCO WHSE #0778 FREMONT CA,2024-02-01,448.87,Citi Costco,Costco
UBER TRIP 8005928996 CA,2024-02-02,88.92,Bank of America Custom Cash,Transportation
CF* CRUMBL PACIFICCOMM LINDON UT,2024-02-02,4.98,Bank of America Custom Cash,Restaurant & Drinks
UBER TRIP 8005928996 CA,2024-02-02,51.91,Bank of America Custom Cash,Transportation
UBER TRIP 8005928996 CA,2024-02-02,11.47,Bank of America Custom Cash,Transportation
TARGET 00026153 FREMONT CA,2024-02-02,32.45,Bank of America Custom Cash,Personal Care
UBER TRIP 8005928996 CA,2024-02-02,15.41,Bank of America Custom Cash,Transportation
UBER TRIP 8005928996 CA,2024-02-02,10.9,Bank of America Custom Cash,Transportation
COSTCO WHSE #0778 FREMONT CA,2024-02-02,-116.46,Citi Costco,Costco
AplPay TRADER JOE S FREMONT             CA,2024-02-02,166.59,AMEX Blue Cash Preferred,Groceries
WAL-MART 2989 2989  FREMONT             CA,2024-02-02,100.03,AMEX Blue Cash Preferred,Miscellaneous
DELTA 00642079939793 ATLANTA GA,2024-02-02,70,Bank of America Custom Cash,Travel
COSTCO WHSE #0778 FREMONT CA,2024-02-02,242.47,Citi Costco,Costco
SP DR BRONNERS VISTA CA,2024-02-03,71.65,Bank of America Custom Cash,Personal Care
TARGET 00026153 FREMONT CA,2024-02-03,139.49,Bank of America Custom Cash,Personal Care
UBER TRIP 8005928996 CA,2024-02-03,8.46,Bank of America Custom Cash,Transportation
UEP*DUMPLING HOME SAN FRANCISCOCA,2024-02-03,90.05,Citi Costco,Restaurant & Drinks
TJMAXX #0404 FREMONT CA,2024-02-03,115.82,Bank of America Custom Cash,Fun
AplPay H MART SAN JOSAN JOSE            CA,2024-02-04,191.36,AMEX Blue Cash Preferred,Groceries
SQ *BLUE BOTTLE COFFEE San FranciscoCA,2024-02-05,15.6,Bank of America Custom Cash,Restaurant & Drinks
AMZN MKTP US*R20PE18X2 SEATTLE WA,2024-02-05,38.12,Bank of America Custom Cash,Shopping
AMZN Mktp US*R25DK62W2 Amzn.com/billWA,2024-02-05,85.98,Bank of America Custom Cash,Shopping
TARGET 00026153 FREMONT CA,2024-02-05,-25.31,Bank of America Custom Cash,Personal Care
TARGET 00026153 FREMONT CA,2024-02-05,102.75,Bank of America Custom Cash,Personal Care
SQ *GU GU POCHA San Jose CA,2024-02-05,12.88,Bank of America Custom Cash,Restaurant & Drinks
MTA METER MTA MCKAY SAN FRANCISCOCA,2024-02-05,2.75,Bank of America Custom Cash,Transportation
TJMAXX #0404 FREMONT CA,2024-02-05,63.88,Bank of America Custom Cash,Fun
SNACK* I-TEA CHRISTY S SAN FRANCISCOCA,2024-02-05,15,Bank of America Custom Cash,Restaurant & Drinks
PRINTWITHME 7737972118 IL,2024-02-06,5,Bank of America Custom Cash,Miscellaneous
AMZN MKTP US*RB6TU7JF2 SEATTLE WA,2024-02-07,33.04,Bank of America Custom Cash,Shopping
WAL-MART 2989 2989  FREMONT             CA,2024-02-07,-8.42,AMEX Blue Cash Preferred,Miscellaneous
AMAZON.COM*RB5CO3BH0 SEATTLE WA,2024-02-08,106.63,Bank of America Custom Cash,Shopping
TJMAXX #0404 FREMONT CA,2024-02-08,124.34,Bank of America Custom Cash,Fun
GEN - FREMONT FREMONT CA,2024-02-09,78.04,Citi Costco,Restaurant & Drinks
UBER TRIP 8005928996 CA,2024-02-09,1,Bank of America Custom Cash,Transportation
AMZN MKTP US*RB9NB94I1 SEATTLE WA,2024-02-10,129.9,Bank of America Custom Cash,Shopping
HANCOOK. OAKLAND CA,2024-02-10,95.12,Citi Costco,Restaurant & Drinks
AMAZON.COM*RB89A94T1 SEATTLE WA,2024-02-10,404.61,Bank of America Custom Cash,Shopping
AplPay H MART SAN JOSAN JOSE            CA,2024-02-10,220.75,AMEX Blue Cash Preferred,Groceries
TARGET 00026153 FREMONT CA,2024-02-10,61.96,Bank of America Custom Cash,Personal Care
FD *CA DMV 644 FREMONT CA,2024-02-10,791,Bank of America Custom Cash,Car Maintenance
FD *CA DMV 644 *SVC FREMONT CA,2024-02-10,16.62,Bank of America Custom Cash,Car Maintenance
COSTCO WHSE #1004 SAN JOSE CA,2024-02-10,113.32,Citi Costco,Costco
AMZN MKTP US*RB3ZL0JD1 SEATTLE WA,2024-02-12,17.63,Bank of America Custom Cash,Shopping
MEET FRESH FREMONT CA,2024-02-12,19.57,Bank of America Custom Cash,Restaurant & Drinks
AMZN MKTP US SEATTLE WA,2024-02-12,-33.04,Bank of America Custom Cash,Shopping
TJMAXX #0404 FREMONT CA,2024-02-12,99.19,Bank of America Custom Cash,Fun
GEN - FREMONT FREMONT CA,2024-02-12,16.23,Bank of America Custom Cash,Restaurant & Drinks
AMZN MKTP US*RB3Q567A2 SEATTLE WA,2024-02-12,14.17,Bank of America Custom Cash,Shopping
TARGET 00026153 FREMONT CA,2024-02-12,131.33,Bank of America Custom Cash,Personal Care
KRYPTONITE CARMEL IN,2024-02-13,34.99,Bank of America Custom Cash,Miscellaneous
AMAZON.COM SEATTLE WA,2024-02-13,-82.4,Bank of America Custom Cash,Shopping
AMZN MKTP US SEATTLE WA,2024-02-13,-31.41,Bank of America Custom Cash,Shopping
SP OLIVE KOLLECTION PLACENTIA CA,2024-02-13,29.76,Bank of America Custom Cash,Fun
AMAZON.COM*RI77K4J32 SEATTLE WA,2024-02-15,10.99,Bank of America Custom Cash,Shopping
AMZN MKTP US*RI2F48SW0 SEATTLE WA,2024-02-15,154.29,Bank of America Custom Cash,Shopping
AMZN MKTP US*RI17G7VZ2 SEATTLE WA,2024-02-16,22.04,Bank of America Custom Cash,Shopping
COSTCO WHSE #0778 FREMONT CA,2024-02-16,82.18,Citi Costco,Costco
SP TAYLOR SWIFT SHOP SANTA MONICA CA,2024-02-17,26.21,Bank of America Custom Cash,Fun
TARGET 00026153 FREMONT CA,2024-02-17,30.77,Bank of America Custom Cash,Personal Care
TARGET.COM * 800-591-3869 MN,2024-02-20,93.7,Bank of America Custom Cash,Personal Care
AMAZON RET* 112-840022 SEATTLE WA,2024-02-23,15.41,Bank of America Custom Cash,Shopping
AplPay TRADER JOE S MILPITAS            CA,2024-02-24,122.31,AMEX Blue Cash Preferred,Groceries
NICENT GLOBAL LOGISTIC COLLEGE POINTNY,2024-02-24,543.95,Bank of America Custom Cash,Miscellaneous
TARGET 00026153 FREMONT CA,2024-02-24,30.75,Bank of America Custom Cash,Personal Care
SP TAYLOR SWIFT SHOP SANTA MONICA CA,2024-02-24,26.33,Bank of America Custom Cash,Fun
AMZN MKTP US*RI6LI7RQ1 SEATTLE WA,2024-02-24,29.7,Bank of America Custom Cash,Shopping
AMZN MKTP US*RZ7P554T0 SEATTLE WA,2024-02-24,41.24,Bank of America Custom Cash,Shopping
COSTCO WHSE #0778 FREMONT CA,2024-02-25,35.95,Citi Costco,Costco
THE UPS STORE 0602 FREMONT CA,2024-02-26,2.19,Bank of America Custom Cash,Miscellaneous
SOUTHWES 5262261026831 800-435-9792 TX,2024-02-26,234.97,Bank of America Custom Cash,Travel
THE HOME DEPOT #1041 MILPITAS CA,2024-02-26,13.41,Bank of America Custom Cash,Miscellaneous
DAISO BA16 FMT FREMONT CA,2024-02-26,19.85,Bank of America Custom Cash,Fun
